A b c	Bảng chữ cái
A fortiori	Lại càng
A priori	Tiên nghiệm
Abaci	Bàn tính
Abacist	Người gãy bàn phím
Abactus	Bị trụy thai
Abaddon	Âm ti, địa ngục
Abapikal	Xa ngọn
Abashed	Bối rối, xấu hổ
Abater	Người giảm bớt
Abattoir	Lò mổ, lò sát sinh
Abbess	Bà trưởng tu viện
Abbey	Tu viện
Abbot	Cha trưởng tu viện
Abbreviate	Viết gọn, viết tắt
Abdicant	Người từ bỏ
Abdicator	Người từ bỏ
Abdomen	Bụng
Abdominal	Ở bụng
Abdominous	Phệ bụng
Abearance	Phẩm hạnh
Abed	Ở trên giường
Aberrance	Sự lầm lạc
Aberrancy	Sự lầm lạc
Aberrant	Lầm lạc
Abette	Kẻ xúi giục
Abetter	Kẻ xúi giục
Abettor	Kẻ xúi giục
Abeyance	Sự đọng lại
Abhor	Ghét cay ghét đắng
Abhorrence	Sự ghê tởm
Abhorrent	Ghê tởm, đáng ghét
Abide	Kéo dài
Abience	Sự tránh kích thích
Abient	Tránh kích thích
Abigail	Thị tỳ, nữ tỳ
Ability	Khả năng
Abiotic	Vô sinh
Abirritate	Giảm kích thích
Abjectly	Hèn hạ, đê tiện
Abjudicate	Tuyên bố từ bỏ
Ablaze	Rực cháy, bốc cháy
Able	Có năng lực, có tài
Ablegate	Đại sứ giáo hoàng
Ableness	Năng lực, tài năng
Ablepsia	Chứng mù
Abluent	Rửa sạch, tẩy sạch
Ablush	Thẹn đỏ mặt
Abnormalcy	Sự dị thường
Abnormity	Sự dị thường
Aboard	Trên máy bay
Abode	Nơi ở
Aboil	Đang sôi
Abominable	Ghê tởm, kinh tởm
Abominate	Ghét cay ghét đắng
Abonent	Người dùng đầu cuối
Aboral	Đối miệng
Aborigines	Thổ dân
Aborticide	Thuốc giết thai
Abortin	Abotin
Abortion	Sự nạo thai
Abortively	Non yểu
About	Nói về, đối với
Above	Ở trên, cao hơn
Abrachia	Tật thiếu tay
Abrachiate	Thiếu tay
Abrachius	Quái thai không tay
Abradant	Làm mòn, mài mòn
Abrade	Cọ xơ ra
Abrase	Cắt mất
Abrasion	Chỗ bị trầy da
Abreact	Giải toả mặc cảm
Abridge	Rút gọn, làm tắt
Abrogable	Có thể hủy bỏ
Abrogate	Bài trừ
Abrogation	Sự bài trừ
Abrogative	Bị hủy bỏ
Abrupt	Vội vã
Abruptly	Bất ngờ, đột ngột
Abscise	Cắt ra, bị cắt ra
Abscond	Lẫn trốn, bỏ trốn
Absently	Lơ đãng
Absolutary	Tha tội
Absolutely	Một cách tuyệt đối
Absolve	Miễn trách
Absorb	Hấp thu, hút thu
Absorbable	Có thể bị hút
Absorbedly	Say mê, chăm chú
Absorbent	Hút nước, thấm hút
Absorber	Bộ đệm
Absorptive	Hút thu
Abstainer	Người kiêng rượu
Abstaining	Sự kiêng khem
Absterge	Tẩy, làm sạch
Abstergent	Tẩy, làm sạch
Abstersive	Tẩy, làm sạch
Abstinent	Kiêng khem
Abstract	Tóm tắt, trích yếu
Abstracted	Lơ đãng
Abstruse	Khó hiểu
Abstrusely	Thâm thúy, sâu sắc
Absurdly	Vô lý
Abtruse	Khó hiểu
Abundant	Thừa
Abundantly	Nhiều
