A b c	Bảng chữ cái
A fortiori	Lại càng
A la mode	Hợp thời trang, đúng mốt
A priori	Tiên nghiệm
Abaci	Bàn tính
Abacist	Người gãy bàn phím
Aback	Lùi lại, trở lại phía sau
Abacterial	Không do vi khuẩn gây ra
Abactus	Bị trụy thai
Abaddon	Âm ti, địa ngục
Abalienate	Nhường lại tài sản
Abandoned	Bị bỏ rơi, bị ruồng bỏ
Abapikal	Xa ngọn
Abashed	Bối rối, xấu hổ
Abater	Người giảm bớt
Abattoir	Lò mổ, lò sát sinh
Abaxial	Ở ngoài trục, xa trục
Abbacy	Quyền hạn trưởng tu viện
Abbess	Bà trưởng tu viện
Abbey	Tu viện
Abbo	Số nhiều abos,  abbos
Abbot	Cha trưởng tu viện
Abbreviate	Viết gọn, viết tắt
Abc-book	Sách vỡ lòng, sách học vần
Abdicable	Xem abdicate
Abdicant	Người từ bỏ
Abdication	Sự thoái vị, sự từ ngôi
Abdicator	Người từ bỏ
Abdomen	Bụng
Abdominal	Ở bụng
Abdominous	Phệ bụng
Abducens	Dây thần kinh não VI ra ngoài
Abearance	Phẩm hạnh
Abed	Ở trên giường
Aberrance	Sự lầm lạc
Aberrancy	Sự lầm lạc
Aberrant	Lầm lạc
Aberrantly	Xem aberrant
Abet	Xúi bẩy, xúi giục, khích
Abette	Kẻ xúi giục
Abetter	Kẻ xúi giục
Abettor	Kẻ xúi giục
Abeyance	Sự đọng lại
Abhor	Ghét cay ghét đắng
Abhorrence	Sự ghê tởm
Abhorrent	Ghê tởm, đáng ghét
Abhorrer	Xem abhor
Abide	Kéo dài
Abider	Xem abide
Abidingly	Xem abiding
Abience	Sự tránh kích thích
Abient	Tránh kích thích
Abigail	Thị tỳ, nữ tỳ
Ability	Khả năng
Abiosis	Xem abiotic
Abiotic	Vô sinh
Abirritant	Thuốc giảm kích thích
Abirritate	Giảm kích thích
Abjectly	Hèn hạ, đê tiện
Abjudicate	Tuyên bố từ bỏ
Abjuration	Sự tuyên bố bỏ, sự thề bỏ
Abjure	Tuyên bố bỏ, nguyện bỏ
Abjurer	Xem abjure
Ablaze	Rực cháy, bốc cháy
Able	Có năng lực, có tài
Ablegate	Đại sứ giáo hoàng
Ableness	Năng lực, tài năng
Ablepsia	Chứng mù
Abluent	Rửa sạch, tẩy sạch
Ablush	Thẹn đỏ mặt
Ablution	Lễ rửa sạch các đồ thờ
Abnegator	Xem abnegate
Abnormalcy	Sự dị thường
Abnormally	Dị thường, khác thường
Abnormity	Sự dị thường
Aboard	Trên máy bay
Abode	Nơi ở
Aboil	Đang sôi
Abolish	Thủ tiêu, bãi bỏ, huỷ bỏ
Abominable	Ghê tởm, kinh tởm
Abominably	Một cách đáng ghê tởm
Abominate	Ghét cay ghét đắng
Abominator	Xem abominate
Abonent	Người dùng đầu cuối
Aboral	Đối miệng
Aborigines	Thổ dân
Aborticide	Thuốc giết thai
Abortin	Abotin
Abortion	Sự nạo thai
Abortively	Non yểu
Abounding	Nhiều, phong phú, thừa thãi
About	Nói về, đối với
About-turn	Sự thay đổi ý kiến, sự đổi ý
Above	Ở trên, cao hơn
Abrachia	Tật thiếu tay
Abrachiate	Thiếu tay
Abrachius	Quái thai không tay
Abradant	Làm mòn, mài mòn
Abrade	Cọ xơ ra
Abrase	Cắt mất
Abrasion	Chỗ bị trầy da
Abreact	Giải toả mặc cảm
Abreast	Sát nhau, sát vai, bên cạnh
Abridge	Rút gọn, làm tắt
Abridger	Xem abridge
Abroad	Ở nước ngoài, ra nước ngoài
Abrogable	Có thể hủy bỏ
Abrogate	Bài trừ
Abrogation	Sự bài trừ
Abrogative	Bị hủy bỏ
Abrupt	Vội vã
Abruption	Sự đứt rời, sự gãy rời
Abruptly	Bất ngờ, đột ngột
Abscise	Cắt ra, bị cắt ra
Abscond	Lẫn trốn, bỏ trốn
Absconder	Người lẫn trốn, người bỏ trốn
Abseil	Trèo xuống, tụt xuống
Absent	Vắng mặt, đi vắng, nghỉ
Absently	Lơ đãng
Absinth	Cây apxin, cây ngải đắng
Absinthe	Cây apxin, cây ngải đắng
Absolutary	Tha tội
Absolute	Tuyệt đối // hình tuyệt đối
